"unique_ID","long_cite","short_cite","contributor","study_num","condition","response_mode","procedure","method","dependent_measure","between_participant","same_infant","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","x_dif","SD_1","SD_2","t","F","d","d_var","corr","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","mean_vocab","dependent_measure_2","dependent_measure_2_x_diff","dependent_measure_2_SD_1","dependent_measure_2_SD_2","n_excluded_fussers","n_excluded_non_criterion","exclusion_criteria","nativeness","contrast_pseudoIPA","contrast_sampa","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","stimuli_notes","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","frequency_1","frequency_2","frequency_source","object_type","object_no","object_motion_word_coordination","object_motion","method_notes","results_extra","MSDapprox","general_notes","same_infant_number","dataset","response_mode_procedure","mean_age","n"
"Kuhl1982","Kuhl, P.K., & Miller, J.D. (1982). Discrimination of auditory target dimensions in the presence or absence of variation in a second dimension by infants. Perception & Psychophysics 31(3), 279-292.","Kuhl & Miller (1982)","st","with_variation",NA,"behavior","habituation","high-amplitude sucking","suckingTime",1,"no","English","standard","experimental","control",8,8,78.4,78.4,0.15,"-0.08",NA,NA,NA,2.88,NA,1.168918022,0.5410166744,NA,77,77,2.15,2.15,NA,NA,NA,NA,NA,NA,NA,NA,0,4.3,"criterion","native","a-i_","A-i_","their vowel doesn't correspond to any of the formants given in P&B52, contra their statementÃ¢â¬Â¦ but the closest might indeed be A",1,0,2,0,0,0,0,"comments_F: F1-F3. Steady-state. ; F1/F2/F3.1: 775/1064/2614; F1/F2/F3.2: 263/2378/3099; min.f0: 132; average.f0: NA; max.f0: 92; range.f0: NA; pitch.contour: NA; other: the familiarization stimuli varied in pitch. Synthesized on terminal analog serial synthesizer. Steady-state, male talker characteristics. F1-F3+ constant (for a and i) upper formants (f4=F10). 500 ms duration.; voice: male; IDS: no; naturalness: synthetic; ISI: NA; SOA: NA; ambient.noise: 12; snr: 56; differ.in: ",775,1064,263,2378,500,500,500,500,"0.05926759577","0.09346106843","R.Daland corpus, overall vowel counts","",0,"","","fam.length:NA;habituation.criterion:20;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:colorful bear;size.in:15.8823801742686;dist.from.child.in:30;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","no","individual data was sucks converted to percentage of baseline; they do an ANOVA for one part, and t-tests for the other. So ES for the first cond (without pitch variation) based on F of Anova where also a cond with only pitch var was in, and ES for the second cond (with pitch variation) is based on t-test for only that condition. ",11,"Phonemic discrimination","behavior: habituation",78.4,8
"Jusczyk1987","Jusczyk, P. W., & Derrah, C. (1987). Representation of Speech Sounds by Young Infants. Developmental Psychology, 23(5), 648-654. ","Jusczyk & Derrah  (1987)","ac","bu_group",NA,"behavior","habituation","high-amplitude sucking","suckingTime",1,"no","English","standard","experimental","control",16,16,60.2,60.2,5.78,"-12.03",NA,10.74,12.08,NA,NA,1.518944298,0.4013101937,NA,44.1,44.1,18.625,18.625,NA,NA,NA,NA,NA,NA,NA,NA,22.7225,186.25,"fussiness, sleeping, eq err, criterion [note: counting here half of the kids excluded for the control group]","native","[bi, bo, ber, ba] to [bi, bo, ber, ba, bu, bu, bu, bu] (randomized)","[bi, bo, b@r, bA] to [bi, bo, b@r, bA, bu, bu, bu, bu] (randomized)","not_looked_up",0,NA,NA,NA,NA,NA,NA,"comments_F: allowed to vary over time; here taking values for the 'stable' portion, at 180 ms; F1/F2/F3.1: well-described in paper (table 1 on p. 650), but not writing the F's for the 'first stimulus set' here because there's a lot of variability; F1/F2/F3.2: 317/966/2240; min.f0: 125; average.f0: NA; max.f0: 100; range.f0: NA; pitch.contour: falling; other: synthetic modeled on male talker, 300 ms, f0 begins 121 rises to 125 at 50 ms and falls linearly to 100 hz at offset; ISI 750 ms; voice: male; IDS: no; naturalness: synthetic; ISI: 750; SOA: NA; ambient.noise: 57; snr: 15; differ.in: ",NA,NA,317,966,300,300,300,300,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:25;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","no","sucks per minute;noting here the 2 minute results, but 4 minute results also reported",12,"Phonemic discrimination","behavior: habituation",60.2,16
"Jusczyk1987","Jusczyk, P. W., & Derrah, C. (1987). Representation of Speech Sounds by Young Infants. Developmental Psychology, 23(5), 648-654. ","Jusczyk & Derrah  (1987)","ac","du_group",NA,"behavior","habituation","high-amplitude sucking","suckingTime",1,"no","English","standard","experimental","control",16,16,60.2,60.2,10.55,"-12.03",NA,11.68,12.08,NA,NA,1.852494768,0.4226356451,NA,44.1,44.1,18.625,18.625,NA,NA,NA,NA,NA,NA,NA,NA,22.7225,186.25,"fussiness, sleeping, eq err, criterion [note: counting here half of the kids excluded for the control group]","native","[bi, bo, ber, ba] to [bi, bo, ber, ba, du, du, du, du] (randomized)","[bi, bo, b@r, bA] to [bi, bo, b@r, bA, bu, bu, bu, bu] (randomized)","not_looked_up",0,NA,NA,NA,NA,NA,NA,"comments_F: allowed to vary over time; here taking values for the 'stable' portion, at 180 ms; F1/F2/F3.1: well-described in paper (table 1 on p. 650), but not writing the F's for the 'first stimulus set' here because there's a lot of variability; F1/F2/F3.2: 317/1100/2240; min.f0: 125; average.f0: NA; max.f0: 100; range.f0: NA; pitch.contour: falling; other: synthetic modeled on male talker, 300 ms, f0 begins 121 rises to 125 at 50 ms and falls linearly to 100 hz at offset; ISI 750 ms; voice: male; IDS: no; naturalness: synthetic; ISI: 750; SOA: NA; ambient.noise: 57; snr: 15; differ.in: ",NA,NA,317,1100,300,300,300,300,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:25;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","no","sucks per minute;noting here the 2 minute results, but 4 minute results also reported",13,"Phonemic discrimination","behavior: habituation",60.2,16
"Miller1979","Miller, J. L., & Eimas, P. D. (1979). Organization in infant speech perception. Canadian journal of psychology, 33(4), 353-367.","Miller & Eimas (1979)","ac","exp1",NA,"behavior","habituation","high-amplitude sucking","suckingTime",1,"no","English","standard","experimental","control",12,36,90,90,6.1,"0",NA,NA,NA,1.676,NA,0.5495081967,0.3380185203,NA,60,60,19.5,19.5,NA,NA,NA,NA,NA,NA,NA,NA,36.66,1.56,"fussiness, sleeping, criterion, eq error, exp error (note: counting here the excluded kids for all of the control groups -- there were 3)","native","[ba-da]-[bae-dae]_","[ba-da]-[b{-d{]_","Aenglish. the authors say nothing but /a/ everywhere, and based on the Fs I guess that it is indeed a: male voice F1 770 (so ok for both) but F2 1220 -- too forward for A, so it could fit a",1,0,0,0,0,1,0,"comments_F: formants varied somewhat over vowel, here noting the 'steady state'; notice that order was counterbalanced, so I'm noting both vowels in the second stim column; F1/F2/F3.1: NA; F1/F2/F3.2: a 771/1233/2520, ae 771/1796/2780; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: synthetic, 300 ms; ISI 700 ms; background level of noise 63 dB, stimuli at 75 db; voice: NA; IDS: no; naturalness: synthetic; ISI: 700; SOA: NA; ambient.noise: 63; snr: 12; differ.in: ",771,1233,771,1796,300,300,300,300,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:20;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:colorful bear;size.in:15.8823801742686;dist.from.child.in:30;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","no","sucks per minute;noting here the 2 minute results minus the mean for 2 mins before shift, although other results also reported this is the only one for which stats were reported; IMPORTANT t estimated from approx p - see notes txt file",14,"Phonemic discrimination","behavior: habituation",90,24
"Cowan1982","Cowan, N., Suomi, K. & Morse, P. A. (1982). Echoic storage in infant perception. Child Development, 53(4), 984-990.","Cowan, Suomi, & Morse (1982)","ac","exp2",NA,"behavior","habituation","high-amplitude sucking","suckingTime",1,"no","English","standard","experimental","control",18,18,60,60,14.42,"-2.64",NA,NA,NA,3.08,NA,1.003851852,0.3537049646,NA,7,7,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fussiness, sleeping","native","[a-a] to [a-Îµ] OR [Îµ-Îµ] to [Îµ-a] versus control: [a-a] to [Îµ-a] OR [Îµ-Îµ] to [a-Îµ]","[a-a] to [a-E] OR [E-E] to [E-a] versus control: [a-a] to [E-a] OR [E-E] to [a-E]","rather /a/ F1 750 F2 1150",0,NA,NA,NA,NA,NA,NA,"comments_F: NA; F1/F2/F3.1: a 750/1150/2400 E 245/2250/3000; F1/F2/F3.2: NA; min.f0: 200; average.f0: NA; max.f0: 40; range.f0: NA; pitch.contour: falling; other: Notice that they presented pairs of vowels; synthetic, 50 ms long, 0ms within pair, 900ms between pair, amplitude ramped 10ms onset and offset, f0 fell linearly from 200 to 40 hz across 50 ms; voice: NA; IDS: no; naturalness: synthetic; ISI: 900; SOA: NA; ambient.noise: 45; snr: 22; differ.in: ",750,1150,NA,NA,50,50,50,50,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","no","sucks per 30s;not coding ES because too different from others - REVISIT.",15,"Phonemic discrimination","behavior: habituation",60,18
"Cowan1982","Cowan, N., Suomi, K. & Morse, P. A. (1982). Echoic storage in infant perception. Child Development, 53(4), 984-990.","Cowan, Suomi, & Morse (1982)","ac","exp3",NA,"behavior","habituation","high-amplitude sucking","suckingTime",1,"no","English","standard","experimental","control",10,10,60,60,NA,"-2.64",NA,NA,NA,2.27,NA,0.9722801493,0.4728987389,NA,7,7,5.333333335,5.333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fussiness, sleeping","native","[a-a] to [a-Îµ] OR [Îµ-Îµ] to [Îµ-a] versus control: [a-a] to [Îµ-a] OR [Îµ-Îµ] to [a-Îµ]","[a-a] to [a-E] OR [E-E] to [E-a] versus control: [a-a] to [E-a] OR [E-E] to [a-E]","rather /a/ F1 750 F2 1150",0,NA,NA,NA,NA,NA,NA,"comments_F: NA; F1/F2/F3.1: a 750/1150/2400 E 245/2250/3000; F1/F2/F3.2: NA; min.f0: 200; average.f0: NA; max.f0: 40; range.f0: NA; pitch.contour: falling; other: Notice that they presented pairs of vowels; synthetic, 50 ms long, 250ms within pair, 900ms between pair, amplitude ramped 10ms onset and offset, f0 fell linearly from 200 to 40 hz across 50 ms; voice: NA; IDS: no; naturalness: synthetic; ISI: 700; SOA: NA; ambient.noise: 45; snr: 22; differ.in: diphthonguization",750,1150,NA,NA,50,50,50,50,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","no","sucks per 30s;not coding ES because too different from others - REVISIT.",16,"Phonemic discrimination","behavior: habituation",60,10
"Mugitani2009","Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236-247. ","Mugitani, Pons, Fais, Dietrich, Werker, & Amano (2009)","ac","exp1",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","English","standard",NA,NA,8,NA,541.14,NA,NA,NA,2.11,3.818376618,2.2627417,NA,NA,NA,NA,NA,25.42,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"fussiness, criterion","nonnative","ta:ku-taku","ta:ku-taku","not_looked_up",0,0,0,0,0,0,1,"comments_F: several tokens recorded, 5 were selected and then manipulated to create a long (200 ms) and short (100 ms) vowel duration; the duration of the whole words was not reported; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: the originals were spoken in English, then the vowel lengthened/reduced to the desired length; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 65; differ.in: diphthonguization",NA,NA,NA,NA,NA,NA,200,100,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:red & black checkerboard;size.in:27;dist.from.child.in:46;side.degrees:NA;CF.longest.first:longest;CF.window.size:3;CF.min.hab:9;CF.max.hab:27;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 of each kind;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.75; partial.eta.squared: NA; d: NA","no","author_provided",17,"Phonemic discrimination","eye-tracking: habituation",541.14,8
"Mugitani2009","Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236-247. ","Mugitani, Pons, Fais, Dietrich, Werker, & Amano (2009)","ac","exp1",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","English","standard",NA,NA,8,NA,541.14,NA,NA,NA,3.54,1.753624817,2.517300141,NA,NA,NA,NA,NA,25.42,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"fussiness, criterion","nonnative","taku-ta:ku","taku-ta:ku","not_looked_up",0,0,0,0,0,0,1,"comments_F: several tokens recorded, 5 were selected and then manipulated to create a long (200 ms) and short (100 ms) vowel duration; the duration of the whole words was not reported; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: the originals were spoken in English, then the vowel lengthened/reduced to the desired length; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 65; differ.in: diphthonguization",NA,NA,NA,NA,NA,NA,100,200,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:red & black checkerboard;size.in:27;dist.from.child.in:46;side.degrees:NA;CF.longest.first:longest;CF.window.size:3;CF.min.hab:9;CF.max.hab:27;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 of each kind;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.875; partial.eta.squared: NA; d: NA","no","author_provided",18,"Phonemic discrimination","eye-tracking: habituation",541.14,8
"Mugitani2009","Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236-247. ","Mugitani, Pons, Fais, Dietrich, Werker, & Amano (2009)","ac","exp2",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Japanese","standard",NA,NA,8,NA,547.56,NA,NA,NA,3.59,2.771858582,2.347594514,NA,3.597,NA,NA,NA,26.42,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3,"fussiness, criterion","native","ta:ku-taku","ta:ku-taku","not_looked_up",0,0,0,0,0,0,1,"comments_F: several tokens recorded, 5 were selected and then manipulated to create a long (200 ms) and short (100 ms) vowel duration; the duration of the whole words was not reported; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: the originals were spoken in English, then the vowel lengthened/reduced to the desired length; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 65; differ.in: diphthonguization",NA,NA,NA,NA,NA,NA,200,100,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:red & black checkerboard;size.in:27;dist.from.child.in:46;side.degrees:NA;CF.longest.first:longest;CF.window.size:3;CF.min.hab:9;CF.max.hab:27;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 of each kind;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.75; partial.eta.squared: 0.291; d: NA","no","author_provided",19,"Phonemic discrimination","eye-tracking: habituation",547.56,8
"Mugitani2009","Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236-247. ","Mugitani, Pons, Fais, Dietrich, Werker, & Amano (2009)","ac","exp2",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Japanese","standard",NA,NA,8,NA,547.56,NA,NA,NA,-1.2,2.432447327,2.064751801,NA,1.204,NA,NA,NA,26.42,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3,"fussiness, criterion","native","taku-ta:ku","taku-ta:ku","not_looked_up",0,0,0,0,0,0,1,"comments_F: several tokens recorded, 5 were selected and then manipulated to create a long (200 ms) and short (100 ms) vowel duration; the duration of the whole words was not reported; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: the originals were spoken in English, then the vowel lengthened/reduced to the desired length; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 65; differ.in: diphthonguization",NA,NA,NA,NA,NA,NA,100,200,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:red & black checkerboard;size.in:27;dist.from.child.in:46;side.degrees:NA;CF.longest.first:longest;CF.window.size:3;CF.min.hab:9;CF.max.hab:27;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 of each kind;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.5; partial.eta.squared: 0.044; d: NA","no","author_provided",20,"Phonemic discrimination","eye-tracking: habituation",547.56,8
"Mugitani2009","Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236-247. ","Mugitani, Pons, Fais, Dietrich, Werker, & Amano (2009)","ac","exp3",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Japanese","standard",NA,NA,12,NA,550.56,NA,NA,NA,2.27,3.637306696,3.083050437,NA,6.081,NA,NA,NA,27.42,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7.5,"fussiness, criterion","native","ta:ku-taku","ta:ku-taku","not_looked_up",0,0,0,0,0,0,1,"comments_F: several tokens recorded, 5 were selected and then manipulated to create a long (200 ms) and short (100 ms) vowel duration; the duration of the whole words was not reported; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: the originals were spoken in Japanese, then the vowel lengthened/reduced to the desired length; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 65; differ.in: diphthonguization",NA,NA,NA,NA,NA,NA,200,100,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:red & black checkerboard;size.in:27;dist.from.child.in:46;side.degrees:NA;CF.longest.first:longest;CF.window.size:3;CF.min.hab:9;CF.max.hab:27;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 of each kind;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.916666666666667; partial.eta.squared: 0.213; d: NA","no","author_provided",21,"Phonemic discrimination","eye-tracking: habituation",550.56,12
"Mugitani2009","Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236-247. ","Mugitani, Pons, Fais, Dietrich, Werker, & Amano (2009)","ac","exp3",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Japanese","standard",NA,NA,12,NA,550.56,NA,NA,NA,-0.12,3.637306696,5.022947342,NA,0.17,NA,NA,NA,27.42,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7.5,"fussiness, criterion","native","taku-ta:ku","taku-ta:ku","not_looked_up",0,0,0,0,0,0,1,"comments_F: several tokens recorded, 5 were selected and then manipulated to create a long (200 ms) and short (100 ms) vowel duration; the duration of the whole words was not reported; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: the originals were spoken in Japanese, then the vowel lengthened/reduced to the desired length; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 65; differ.in: diphthonguization",NA,NA,NA,NA,NA,NA,100,200,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:red & black checkerboard;size.in:27;dist.from.child.in:46;side.degrees:NA;CF.longest.first:longest;CF.window.size:3;CF.min.hab:9;CF.max.hab:27;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 same 1 oddball, with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.416666666666667; partial.eta.squared: 0.001; d: NA","no","author_provided",22,"Phonemic discrimination","eye-tracking: habituation",550.56,12
